震级,time,纬度,经度,深度,place
4.2,2024-07-24 16:39:32,40.85,84.1,25,新疆巴音郭楞州尉犁县
4.3,2024-07-24 11:31:21,40.17,76.58,17,新疆克孜勒苏州阿图什市
4.6,2024-07-24 07:55:02,26.27,104.74,10,贵州六盘水市水城区
3.6,2024-07-23 20:22:48,24.25,98.07,13,云南德宏州芒市
3.0,2024-07-23 13:30:53,40.85,84.13,21,新疆巴音郭楞州尉犁县
3.0,2024-07-23 09:22:56,32.53,89.21,10,西藏那曲市双湖县
3.1,2024-07-23 05:14:56,41.16,83.48,18,新疆阿克苏地区库车市
3.2,2024-07-22 23:02:18,33.2,88.46,10,西藏那曲市双湖县
3.1,2024-07-22 06:50:02,33.02,116.27,8,安徽亳州市利辛县
3.3,2024-07-21 13:52:45,38.31,78.21,13,新疆喀什地区叶城县
3.2,2024-07-21 09:24:22,40.78,77.81,15,新疆克孜勒苏州阿合奇县
4.7,2024-07-21 02:10:06,43.38,84.79,14,新疆巴音郭楞州和静县
4.8,2024-07-20 22:18:56,40.9,84.13,14,新疆巴音郭楞州尉犁县
3.6,2024-07-20 10:07:30,40.32,77.1,17,新疆克孜勒苏州阿图什市
4.5,2024-07-20 09:56:58,40.84,84.11,18,新疆巴音郭楞州尉犁县
3.2,2024-07-20 06:21:04,33.88,86.67,10,西藏那曲市尼玛县
4.0,2024-07-19 14:22:02,24.29,98.12,14,云南德宏州芒市
3.0,2024-07-19 00:24:45,26.98,103.08,14,云南昭通市巧家县
3.0,2024-07-18 18:50:26,40.74,84.11,10,新疆巴音郭楞州尉犁县
3.1,2024-07-18 18:05:28,29.95,86.99,10,西藏日喀则市昂仁县
3.6,2024-07-18 13:48:10,44.35,83.34,16,新疆博尔塔拉州精河县
3.0,2024-07-17 12:23:57,28.21,100.69,11,四川凉山州木里县
3.4,2024-07-17 04:14:52,40.82,84.14,15,新疆巴音郭楞州尉犁县
3.1,2024-07-17 03:57:39,40.78,84.17,10,新疆巴音郭楞州尉犁县
3.7,2024-07-17 01:29:29,40.81,84.14,10,新疆巴音郭楞州尉犁县
3.4,2024-07-15 06:05:37,40.81,84.17,15,新疆巴音郭楞州尉犁县
3.9,2024-07-15 05:58:53,40.82,84.15,17,新疆巴音郭楞州尉犁县
3.0,2024-07-15 05:44:49,40.82,84.14,14,新疆巴音郭楞州尉犁县
3.4,2024-07-14 06:49:31,29.97,87.0,10,西藏日喀则市昂仁县
3.3,2024-07-13 07:39:04,40.83,84.14,15,新疆巴音郭楞州尉犁县
3.6,2024-07-12 22:35:40,40.83,84.12,17,新疆巴音郭楞州尉犁县
3.2,2024-07-12 21:57:48,40.81,84.13,12,新疆巴音郭楞州尉犁县
3.6,2024-07-12 09:56:17,40.78,84.18,10,新疆巴音郭楞州尉犁县
3.2,2024-07-12 00:14:22,40.74,84.16,10,新疆巴音郭楞州尉犁县
2.1,2024-07-11 23:42:38,38.46,116.6,13,河北沧州市河间市
3.1,2024-07-11 08:49:18,41.88,82.15,20,新疆阿克苏地区拜城县
